"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.03.2021","111.329","112.650","112.775","107.550","25,81M","-0,23%"
"02.03.2021","111.586","110.000","112.630","107.330","24,32M","1,20%"
"01.03.2021","110.262","111.350","112.670","110.060","21,41M","0,11%"
"26.02.2021","110.136","112.245","113.660","109.765","22,69M","-1,90%"
"25.02.2021","112.264","116.000","116.720","111.815","22,30M","-3,06%"
"24.02.2021","115.805","115.515","116.360","114.745","17,69M","0,25%"
"23.02.2021","115.515","113.005","115.735","113.005","20,48M","2,49%"
"22.02.2021","112.709","112.970","114.600","111.740","18,03M","-4,98%"
"19.02.2021","118.613","118.450","119.420","117.970","16,71M","-0,56%"
"18.02.2021","119.285","120.600","121.050","118.625","18,14M","-1,24%"
"17.02.2021","120.780","119.640","120.780","118.755","8,25M","1,17%"
"12.02.2021","119.380","119.010","119.770","118.025","16,08M","0,13%"
"11.02.2021","119.223","118.645","120.325","118.400","18,50M","0,88%"
"10.02.2021","118.185","119.750","119.895","117.840","19,40M","-0,99%"
"09.02.2021","119.369","119.600","119.980","118.175","18,97M","-0,31%"
"08.02.2021","119.743","120.520","120.885","119.040","18,67M","-0,38%"
"05.02.2021","120.200","119.675","121.195","119.365","16,72M","0,82%"
"04.02.2021","119.218","120.110","120.685","118.825","17,48M","-0,44%"
"03.02.2021","119.748","118.935","120.380","118.550","18,64M","1,22%"
"02.02.2021","118.307","118.485","119.915","117.710","20,37M","0,79%"
"01.02.2021","117.385","116.350","117.990","115.660","18,98M","2,02%"
"29.01.2021","115.056","118.600","118.680","114.880","21,00M","-3,31%"
"28.01.2021","118.994","115.675","119.450","115.465","19,01M","2,73%"
"27.01.2021","115.831","115.745","117.870","114.820","20,77M","-0,40%"
"26.01.2021","116.300","116.775","119.175","116.065","18,46M","-0,98%"
"22.01.2021","117.450","116.850","117.945","116.065","15,76M","-0,82%"
"21.01.2021","118.416","120.200","120.320","117.745","16,16M","-1,08%"
"20.01.2021","119.707","120.580","121.520","118.670","15,87M","-0,76%"
"19.01.2021","120.626","122.195","122.440","119.255","18,64M","-0,53%"
"18.01.2021","121.263","120.730","122.780","119.960","13,46M","0,76%"
"15.01.2021","120.353","122.705","122.745","120.170","15,87M","-2,54%"
"14.01.2021","123.488","122.805","124.045","122.335","15,30M","1,25%"
